ANSWER	2018-03-11 19:01:48
GAMEOFTROVE	2018-03-11 19:01:55
GAMEOFTROVES	2018-03-11 19:02:03
SHERLOCKHOLMES	2018-03-11 19:03:30
?	2018-03-11 19:03:50
GAME OF TROVES	2018-03-11 19:04:18
42	2018-03-11 19:04:23
42	2018-03-11 19:04:37
ZOOM	2018-03-11 19:06:00
OJASS	2018-03-11 19:06:18
OJASS18	2018-03-11 19:06:22
TROVES	2018-03-11 19:07:49
HELP	2018-03-11 19:07:55
HINT	2018-03-11 19:08:00
NEODRISHTI	2018-03-11 19:10:56
NEODRISHTI	2018-03-11 19:11:58
VIZURMAT	2018-03-11 19:15:53
GOT	2018-03-11 19:16:45
ENIGMA	2018-03-11 19:21:19
MORIARTY	2018-03-11 19:25:48
HUNT	2018-03-11 19:25:52
A	2018-03-11 19:25:56
B	2018-03-11 19:26:02
NEXT	2018-03-11 19:26:06
SHERLOCK	2018-03-11 19:28:53
GAMEOFTHRONES	2018-03-11 19:29:04
DETECTIVE	2018-03-11 19:29:09
GOOGLE	2018-03-11 19:29:15
LEVEL2	2018-03-11 19:31:48
2	2018-03-11 19:31:54
MAYANK	2018-03-11 19:32:51
JASS	2018-03-11 19:36:58
QUESTION	2018-03-11 19:39:48
FACEBOOK	2018-03-11 19:43:25
MARK	2018-03-11 19:44:21
   	2018-03-11 20:01:28
NEO DRISHTI OJASS	2018-03-11 20:06:10
NEO DRISHTI OJASS 18	2018-03-11 20:06:14
NEO DRISHTI OJASS 2018	2018-03-11 20:14:37
THE GAME OF TROVES	2018-03-11 20:15:46
VIZ UR MAT	2018-03-11 20:24:34
SOCIETY OF COMPUTER APPLICATIONS	2018-03-11 20:27:56
SOCIETY OF COMPUTER APPLICATIONS	2018-03-11 20:28:10
NATIONAL INSTITUTE OF TECHNOLOGY JAMSHEDPUR	2018-03-11 20:33:47
NATIONAL INSTITUTE OF TECHNOLOGY JAMSHEDPUR	2018-03-11 20:34:03
NATIONAL INSTITUTE OF TECHNOLOGY	2018-03-11 20:34:08
GAME OF TROVES 	2018-03-11 20:43:57
 GAME OF TROVES	2018-03-11 20:44:04
A STUDY IN SCARLET	2018-03-11 20:48:11
OREO	2018-03-11 20:51:40
404	2018-03-11 20:56:18
NOT FOUND	2018-03-11 20:56:24
JAVK SPARROW	2018-03-11 21:11:02
JACK SPARROW	2018-03-11 21:11:20
JOHNNY DEPP	2018-03-11 21:18:37
PIRATES OF THE CARIBBEAN	2018-03-11 21:26:43
HANS ZIMMER	2018-03-11 21:27:16
KLAUS BADELT	2018-03-11 21:28:11
HE'S A PIRATE	2018-03-11 21:28:41
HES A PIRATE	2018-03-11 21:28:53
KLAUS BADELT	2018-03-11 21:31:33
CAPTAIN JACK SPARROW	2018-03-11 21:31:41
BLACK PEARL	2018-03-11 21:31:49
THE BLACK PEARL	2018-03-11 21:31:54
THE PIRATE BAY	2018-03-11 21:32:02
THE PIRATEBAY	2018-03-11 21:32:06
PIRATEBAY	2018-03-11 21:32:12
PIRATE	2018-03-11 21:32:16
THE CURSE OF THE BLACK PEARL	2018-03-11 21:32:42
KLAUS BADELT AND HANS ZIMMER	2018-03-11 21:33:26
TIESTO	2018-03-11 21:35:12
BARBOSSA	2018-03-11 21:35:57
THE LION KING	2018-03-11 21:45:45
SPARROW	2018-03-11 21:50:46
ZIMMER	2018-03-11 21:51:03
PIRATE	2018-03-11 21:51:12
JACK	2018-03-11 21:51:21
TITANIC	2018-03-11 21:51:27
AHOY	2018-03-11 21:54:16
CAPTAIN	2018-03-11 21:54:22
INCEPTION	2018-03-11 21:54:45
2003	2018-03-11 21:56:03
DISNEY	2018-03-11 21:56:58
WALTDISNEY	2018-03-11 21:57:05
JACKSPARROW	2018-03-11 21:57:12
CAPTAINJACKSPARROW	2018-03-11 21:57:19
HANSZIMMER	2018-03-11 21:57:27
JOHNNYDEPP	2018-03-11 22:05:47
BLACKBEARD	2018-03-11 22:51:15
DRAKE	2018-03-11 22:51:54
BARBAROSSA	2018-03-11 22:52:16
KIDD	2018-03-11 22:52:50
ANONYMOUS	2018-03-11 22:54:46
EDWARDTEACH	2018-03-11 22:55:20
TEACH	2018-03-11 22:55:24
CAPTAINSPARROW	2018-03-11 23:02:27
TPB	2018-03-11 23:03:23
ANAKATA	2018-03-11 23:03:49
ANICETUS	2018-03-11 23:04:23
JOLLYROGER	2018-03-11 23:05:30
CAPTAINJACKSPARROW	2018-03-11 23:05:51
SNOWDEN	2018-03-11 23:06:28
PEWDIEPIE	2018-03-11 23:09:06
PEPELEPEW	2018-03-11 23:09:11
LEPEW	2018-03-11 23:09:17
DAVYJONES	2018-03-11 23:13:05
SPARROW	2018-03-11 23:13:30
TRIDENT	2018-03-11 23:14:10
REBEL	2018-03-11 23:16:56
AWILDA	2018-03-11 23:30:59
FRANCISDRAKE	2018-03-11 23:41:49
CALICOJACK	2018-03-11 23:43:08
DREAMWORKS	2018-03-11 23:52:36
REMOTECONTROLPRODUCTIONS	2018-03-11 23:53:05
CSI	2018-03-11 23:53:24
KIDS	2018-03-11 23:54:57
THEKIDS	2018-03-11 23:55:01
ARIZONA	2018-03-11 23:55:14
ARIZONADREAM	2018-03-11 23:55:18
ARIZONADREAM	2018-03-11 23:55:52
HOLLYWOOD	2018-03-11 23:56:25
HOLLYWOODVAMPIRES	2018-03-11 23:56:29
HANSFLORIANZIMMER	2018-03-11 23:58:34
HANSZIMMER	2018-03-11 23:58:40
GLADIATOR	2018-03-11 23:59:17
DUNKIRK	2018-03-11 23:59:49
WORKS	2018-03-12 00:00:24
KRAKATOA	2018-03-12 00:00:55
RAINMAN	2018-03-12 00:01:20
ZIMMER	2018-03-12 00:02:25
HANSZIMMERDOTCOM	2018-03-12 00:04:35
ZIMMER	2018-03-12 00:07:57
HANSZIMMER	2018-03-12 00:08:03
SPIELBERG	2018-03-12 00:08:56
STEVENSPIELBERG	2018-03-12 00:09:00
