MISS ME	2018-03-11 19:51:46
YOU REPEL ME	2018-03-11 19:52:31
I AM SHERLOCKED	2018-03-11 19:55:08
DID YOU MISS ME?	2018-03-11 19:56:06
DID YOU MISS ME?	2018-03-11 19:56:12
I O U	2018-03-11 19:57:21
 I'LL WIN EVERY TIME	2018-03-11 19:58:29
MISS ME MISS ME	2018-03-11 19:59:40
THE SIGN OF THREE	2018-03-11 20:01:33
THE REICHENBACH FALL	2018-03-11 20:03:07
THE REICHENBACH FALL	2018-03-11 20:03:13
A STUDY IN PINK	2018-03-11 20:04:06
A STUDY IN PINK	2018-03-11 20:04:08
MESSAGE OF MORIARTY	2018-03-11 20:04:26
ASK GOOGLE FOR SUGGESTIONS	2018-03-11 20:05:29
 I WANT TO BREAK FREE	2018-03-11 20:08:27
ANSWER FIELD IS EMPTY	2018-03-11 20:09:40
ANSWER FIELD IS EMPTY	2018-03-11 20:09:43
DID YOU MISS ME?	2018-03-11 20:10:14
DID YOU MISS ME	2018-03-11 20:10:25
DID YOU MISS ME	2018-03-11 20:10:31
IOU	2018-03-11 20:10:38
IOU	2018-03-11 20:10:44
CATCH YOU LATER	2018-03-11 20:13:51
FILE NOT FOUND (404 ERROR)	2018-03-11 20:14:20
PERSON WITH MAGNIFYING GLASS	2018-03-11 20:15:22
ANSWER FIELD IS EMPTY!!!	2018-03-11 20:17:24
GAME OF TROVES	2018-03-11 20:18:12
I AM WAITING	2018-03-11 20:20:39
 I O U	2018-03-11 20:50:06
DID YOU MISS ME	2018-03-11 20:51:04
3 WHITE SPACE CHARACTERS	2018-03-11 20:52:42
ONLY LIES HAVE DETAILS	2018-03-11 20:53:17
ONLY LIES HAVE DETAIL	2018-03-11 20:53:22
YOU NEED ME	2018-03-11 20:54:42
WHAT'S THE FINAL PROBLEM	2018-03-11 20:56:22
HE LEFT HIS NUMBER	2018-03-11 21:00:56
CARL PEARSONS'S SHOE	2018-03-11 21:44:24
SEARCH THE ANSWER	2018-03-11 21:45:14
WHAT'S THE FINAL PROBLEM	2018-03-11 21:45:34
WHAT'S THE FINAL PROBLEM?	2018-03-11 21:45:42
THE LYING DETECTIVE	2018-03-11 21:46:06
A STUDY IN SCARLET	2018-03-11 22:19:43
A STUDY IN PINK	2018-03-11 22:31:34
OREO	2018-03-12 08:36:53
HE IS A PIRATE	2018-03-12 08:38:37
HE'S A PIRATE	2018-03-12 08:50:31
KLAUS BADELT	2018-03-12 08:51:00
BLACK PEARL	2018-03-12 08:51:28
DISNEY	2018-03-12 08:53:22
HANS ZIMMER	2018-03-12 08:54:24
OSCARS	2018-03-12 08:56:56
JOHNNY DEPP	2018-03-12 08:58:09
93 SECOND AVENUE	2018-03-12 09:00:01
93 SECOND	2018-03-12 09:00:07
NEWYORK	2018-03-12 09:00:37
THE CURSE OF THE BLACK PEARL	2018-03-12 09:01:18
LAZYTOWN	2018-03-12 09:03:33
PRESTO	2018-03-12 09:04:51
PIRATE	2018-03-12 09:06:15
DRINK UP ME HEARTIES	2018-03-12 09:06:47
DRINK UP ME HEARTIES	2018-03-12 09:06:49
KINGDOM HEARTS	2018-03-12 09:07:05
THE MASK OF ZORRO	2018-03-12 09:07:45
 RODRIGO Y GABRIELA	2018-03-12 09:08:37
THE FLYING DUTCHMAN	2018-03-12 09:12:40
BARBOSSA	2018-03-12 09:13:40
DAVY JONES	2018-03-12 09:14:46
KRAKEN	2018-03-12 09:14:54
ORLANDO BLOOM	2018-03-12 09:16:53
GOATEE	2018-03-12 09:20:51
SAVVY	2018-03-12 09:21:00
93 SECOND LONG SONG	2018-03-12 09:21:45
AUDIO	2018-03-12 09:37:30
SONG	2018-03-12 09:37:39
NOLAN	2018-03-12 09:38:55
PIRATES	2018-03-12 09:39:05
CLICK	2018-03-12 09:39:21
OSCAR	2018-03-12 09:39:28
OSCARS	2018-03-12 09:39:33
EPICS	2018-03-12 09:40:21
SPARROW	2018-03-12 09:40:42
JACK	2018-03-12 09:40:49
TINTIN	2018-03-12 09:40:56
BLACKBEARD	2018-03-12 09:41:46
BOYD	2018-03-12 11:57:17
MUIR	2018-03-12 11:57:33
LUCIAN	2018-03-12 11:57:46
GRAINGE	2018-03-12 11:58:03
MASURA	2018-03-12 11:59:04
SAMUEL	2018-03-12 12:00:14
MASON	2018-03-12 12:00:22
REYNOLD	2018-03-12 12:01:14
JOHNNY	2018-03-12 12:02:09
DEPP	2018-03-12 12:02:16
JACK	2018-03-12 12:02:23
SPARROW	2018-03-12 12:02:30
PURFOY	2018-03-12 12:02:59
NEWTON	2018-03-12 12:03:12
MCFAYDEN	2018-03-12 12:03:28
HOFFMAN	2018-03-12 12:03:44
ISSACS	2018-03-12 12:03:57
JASON	2018-03-12 12:04:07
GEENA	2018-03-12 12:04:21
DAVIS	2018-03-12 12:04:27
MORGAN	2018-03-12 12:04:42
BARBOSSA	2018-03-12 12:05:01
CAPTAIN	2018-03-12 12:05:08
SPIELBERG	2018-03-12 12:06:25
DEFARIA 	2018-03-12 12:07:05
CHRIS	2018-03-12 12:07:12
UNIVERSAL	2018-03-12 12:07:26
HANS	2018-03-12 12:08:23
ZIMMER	2018-03-12 12:08:30
ZIMMER	2018-03-12 12:08:35
WILLIAMS	2018-03-12 12:09:13
ROBINHOOD	2018-03-12 12:09:54
BILLBOARD	2018-03-12 12:10:35
GILLESPIE	2018-03-12 12:11:00
STöRTEBEKER	2018-03-12 12:12:50
KLAUS	2018-03-12 12:12:57
MORIARTY	2018-03-12 12:13:08
PEN	2018-03-12 12:14:14
KLAUS	2018-03-12 12:16:12
KLAUS	2018-03-12 12:16:14
KLAUS	2018-03-12 12:16:17
KLAUS	2018-03-12 12:16:19
KLAUS	2018-03-12 12:16:21
KLAUS	2018-03-12 12:16:23
KLAUS	2018-03-12 12:16:25
