BYOMKESH BAKSHI	2018-03-11 23:54:13
SHERLOCK HOLMES	2018-03-11 23:54:52
CRIME INVESTIGATING	2018-03-11 23:55:15
QUESTION OF CRIME	2018-03-11 23:56:11
HOLMES	2018-03-11 23:56:40
CRIME	2018-03-11 23:56:50
CRIME DETECTION	2018-03-11 23:57:07
CID	2018-03-11 23:57:35
CRIME INVESTIGATION DEPARTMENT	2018-03-11 23:58:01
ANSWER	2018-03-12 00:01:01
SOLUTION	2018-03-12 00:01:27
BYOMKESH BAKSHI	2018-03-12 00:05:28
STUDY INSCARLET	2018-03-12 01:49:00
A STUDY IN SCARLET	2018-03-12 01:49:50
PYTHON	2018-03-12 12:39:18
PIP3	2018-03-12 12:44:12
PYTHON3	2018-03-12 12:44:23
ANDROID	2018-03-12 12:45:49
PYTHON3.4	2018-03-12 12:48:27
QUANTEL	2018-03-12 12:51:16
BLUERAY	2018-03-12 12:51:47
MICROSOFT	2018-03-12 12:52:42
LINUX	2018-03-12 12:52:56
MACOS	2018-03-12 12:53:15
IOS	2018-03-12 12:53:25
OREO	2018-03-12 12:55:07
BLACK PANTHER	2018-03-12 13:00:17
PIRATES OF CARIBBEAN	2018-03-12 13:04:18
PIRATES	2018-03-12 13:04:24
KLAUS BADELT	2018-03-12 13:05:00
REBEL FEAT	2018-03-12 13:07:05
HE'S A PIRATE	2018-03-12 13:07:23
BLACK PEARL	2018-03-12 13:07:34
PIRATES OF THE CARIBBEAN	2018-03-12 13:08:59
JACK SPARROW	2018-03-12 13:09:21
JOHNNY DEPP	2018-03-12 13:09:42
BLACK BEARD	2018-03-12 13:11:57
BLACKBEARD	2018-03-12 13:12:26
THESPARROWSAVVY	2018-03-12 13:14:26
THE SPARROWSAVVY	2018-03-12 13:14:39
THE SPARROW SAVVY	2018-03-12 13:14:43
THE PRICE OF FREEDOM	2018-03-12 13:15:21
HANS ZIMMER	2018-03-12 13:16:46
JACK	2018-03-12 14:11:37
SCAN	2018-03-12 14:11:43
JACKSPARROW	2018-03-12 14:11:55
BLACKFLAG	2018-03-12 14:12:33
BLACK	2018-03-12 14:12:38
PIRATES	2018-03-12 14:12:47
CARRIBEAN	2018-03-12 14:13:01
SEA	2018-03-12 14:14:01
TORTUGA	2018-03-12 14:14:51
TORTUGA	2018-03-12 14:14:55
COMPASS	2018-03-12 14:15:22
JACKSPARROW	2018-03-12 14:56:50
TURNER	2018-03-12 14:56:59
BAROSSA	2018-03-12 14:59:19
BARBOSSA	2018-03-12 14:59:31
BOOTSTRAP	2018-03-12 15:00:41
BOOTSTRAPWILL	2018-03-12 15:00:48
WILLIAM	2018-03-12 15:01:13
HECTOR	2018-03-12 15:02:13
HECTORBARBOSSA	2018-03-12 15:02:46
PINTEL	2018-03-12 15:03:16
JOSHAMEEGIBBS	2018-03-12 15:04:00
JOSHAMEE	2018-03-12 15:04:06
GIBBS	2018-03-12 15:04:22
WILLTURNER	2018-03-12 15:04:38
WILL	2018-03-12 15:04:44
SPARROW	2018-03-12 15:04:58
BLACK PEARL	2018-03-12 15:05:21
BLACKPEARL	2018-03-12 15:05:27
ELIZABETH	2018-03-12 15:05:48
RAGETTI	2018-03-12 15:06:20
ANAMARIA	2018-03-12 15:06:37
GILLETTE	2018-03-12 15:07:10
MULLROY	2018-03-12 15:07:22
GRAPPLE	2018-03-12 15:07:33
SIMBAKKA	2018-03-12 15:07:59
SCARLET	2018-03-12 15:08:31
SCARLETT	2018-03-12 15:08:36
MALLOT	2018-03-12 15:08:56
LEJON	2018-03-12 15:09:04
HAWKSMOOR	2018-03-12 15:09:20
KETCHUM	2018-03-12 15:09:31
MOISES	2018-03-12 15:09:48
SCARUS	2018-03-12 15:10:02
SIMBAKKA	2018-03-12 15:10:18
KURSAR	2018-03-12 15:10:31
CLUBBA	2018-03-12 15:10:48
PARROT	2018-03-12 15:10:55
MULLROY	2018-03-12 15:11:13
GRAPPLE	2018-03-12 15:11:25
RAGETTI	2018-03-12 15:11:39
MURTOGG	2018-03-12 15:11:54
DAVIJONES	2018-03-12 18:10:04
JONES	2018-03-12 22:21:37
DAVYJONES	2018-03-12 22:21:45
FLORIAN	2018-03-13 12:09:29
