VECTOR	2018-03-12 19:44:42
SILHOUETTE	2018-03-12 19:45:05
SHUTTER STOCK	2018-03-12 19:48:34
SHUTTERSTOCK	2018-03-12 19:48:39
GOOGLE	2018-03-12 19:48:52
LILIPUT	2018-03-12 19:50:38
GULLIVER	2018-03-12 19:50:47
GULLIVER'S TRAVEL	2018-03-12 19:51:03
STOCK	2018-03-12 19:51:10
BROBDINGNAG	2018-03-12 19:51:24
CHART	2018-03-12 19:51:54
POWERPOINT	2018-03-12 19:52:53
SHUTTERSTOCK	2018-03-12 19:53:30
PSD	2018-03-12 19:54:17
TESTEO	2018-03-12 19:55:21
TESTEO	2018-03-12 19:55:29
TESTEO CON CALIDAD	2018-03-12 19:55:40
COMUNIDAD IEBS	2018-03-12 19:56:17
BUSCAR	2018-03-12 19:56:26
INICIO	2018-03-12 19:56:56
TESTEO CON CALIDAD	2018-03-12 19:57:23
QUALITY TESTING	2018-03-12 19:58:47
QUALITY TESTING	2018-03-12 19:59:12
QUALITY	2018-03-12 19:59:18
QA	2018-03-12 19:59:50
QUALITY ASSURANCE	2018-03-12 20:00:00
ISO 9000	2018-03-12 20:00:21
SQA	2018-03-12 20:16:18
SOFTWARE QUALITY ASSURANCE	2018-03-12 20:16:31
ACCELERATED MOBILE PAGES	2018-03-12 20:18:08
