QUESTION	2018-03-11 19:45:46
ANSWER	2018-03-11 19:46:01
ANSWER	2018-03-11 19:46:56
ANSWER	2018-03-11 19:46:57
ANSWER	2018-03-11 19:46:58
ANSWER	2018-03-11 19:46:59
ANSWER	2018-03-11 19:46:59
ANSWER	2018-03-11 19:46:59
GAME OF TROVES	2018-03-11 19:47:19
WAGE	2018-03-11 19:47:30
HIT AND TRIAL	2018-03-11 19:47:46
BRUTE FORCE	2018-03-11 19:48:01
GOOGLE	2018-03-11 19:48:10
CURIOSITY	2018-03-11 19:48:26
HOUSE MD	2018-03-11 19:48:50
HOUSE	2018-03-11 19:48:59
CURIOUS	2018-03-11 19:49:09
LEARN	2018-03-11 19:49:24
DETECTIVE	2018-03-11 19:49:34
SHERLOCK	2018-03-11 19:49:46
SHERLOCK HOLMES	2018-03-11 19:49:54
SPY	2018-03-11 19:50:04
SOLVE	2018-03-11 19:50:28
MORIARTY	2018-03-11 19:50:38
ENLARGE	2018-03-11 19:50:47
MARS	2018-03-11 19:50:55
KEEN	2018-03-11 19:51:03
NASA	2018-03-11 19:51:15
MOM	2018-03-11 19:51:23
WATSON	2018-03-11 19:53:20
DETECTIVE	2018-03-11 19:53:34
BENEDICT CUMBERBATCH	2018-03-11 19:53:57
ROBERT DOWNEY JR	2018-03-11 19:54:11
LOOK	2018-03-11 19:54:50
WHAT	2018-03-11 19:55:07
ANSWER	2018-03-11 19:55:19
SPY	2018-03-11 19:55:27
JOHN WATSON	2018-03-11 19:55:39
CONSULTING DETECTIVE	2018-03-11 19:56:22
CRIME	2018-03-11 19:56:35
WHAT	2018-03-11 19:56:43
HOLMES	2018-03-11 19:56:51
SHERLOCK	2018-03-11 19:56:59
SHERLOCKED	2018-03-11 19:57:05
BYOMKESH BAKSHY	2018-03-11 19:57:30
 DETECTIVE BYOMKESH BAKSHY	2018-03-11 19:58:08
