A STUDY IN SCARLET	2018-03-11 23:28:37
EURUS	2018-03-11 23:42:31
OREO	2018-03-11 23:44:21
GAME OF THRONES	2018-03-11 23:46:37
FIRE AND ICE	2018-03-11 23:49:37
PIRATES OF THE CARIBBEAN	2018-03-11 23:52:46
ACAPELLA	2018-03-11 23:54:15
JACK SPARROW	2018-03-11 23:54:26
BLACK PEARL	2018-03-11 23:54:42
HE'S A PIRATE	2018-03-11 23:55:40
PIRATE	2018-03-11 23:55:47
SUNAET	2018-03-11 23:56:00
SUNSET	2018-03-11 23:56:08
FOG BOUND	2018-03-11 23:56:59
KLAUS MADELT	2018-03-11 23:58:18
KLAUS BADELT	2018-03-11 23:58:31
CURSE OF THE BLACK PEARL	2018-03-11 23:59:19
THE CURSE OF THE BLACK PEARL	2018-03-11 23:59:50
JOHNNY DEPP	2018-03-12 00:00:33
WILL TURNER	2018-03-12 00:00:48
ELIZABETH SWANN	2018-03-12 00:00:58
FLYING DUTCHMAN	2018-03-12 00:02:35
THE BLACK PEARL	2018-03-12 00:03:05
THE BLACK PEARL	2018-03-12 00:03:05
THE BLACK PEARL	2018-03-12 00:03:05
THE BLACK PEARL	2018-03-12 00:03:07
THE BLACK PEARL	2018-03-12 00:03:09
DEAD MEN TELL NO TALES	2018-03-12 00:03:36
ORCHESTRA	2018-03-12 00:04:11
MUSIC	2018-03-12 00:04:18
EPONYMOUS	2018-03-12 00:04:38
DISNEY	2018-03-12 00:05:44
HANS ZIMMER	2018-03-12 00:07:11
INTERCEPTOR	2018-03-12 00:11:53
PIRATES	2018-03-12 00:12:00
CARRIBEAN	2018-03-12 00:12:08
TREASURE ISLAND	2018-03-12 00:14:36
HECTOR BARBOSSA	2018-03-12 00:15:16
COMPASS	2018-03-12 00:18:10
CONCLUSION	2018-03-12 00:18:31
DEAD MAN'S CHEST	2018-03-12 00:18:48
CLIMAX	2018-03-12 00:19:09
CAPTAIN	2018-03-12 00:20:07
CAPTAIN SPARROW	2018-03-12 00:20:12
REALLY BAD EGGS	2018-03-12 00:21:06
YO HO	2018-03-12 00:21:32
YO HO SONG	2018-03-12 00:21:37
BOTTLE OF RUM	2018-03-12 00:21:49
DAVY JONES	2018-03-12 00:22:11
CREDITS	2018-03-12 00:22:17
WALT DISNEY	2018-03-12 00:22:46
CORTEZ	2018-03-12 00:23:43
A PIRATE'S LIFE FOR ME	2018-03-12 00:28:41
BLACK PEARL	2018-03-12 00:29:55
ENDING	2018-03-12 00:39:30
SPARROW	2018-03-12 00:44:48
JACK	2018-03-12 00:44:55
SHIP	2018-03-12 00:45:02
PEARL	2018-03-12 00:45:10
FIGHT	2018-03-12 00:45:16
CREDITS	2018-03-12 00:45:24
YOHO	2018-03-12 00:47:05
SONG	2018-03-12 00:47:11
PIRATE	2018-03-12 00:47:17
OSCAR	2018-03-12 00:47:24
GRAMMY	2018-03-12 00:47:33
COMPASS	2018-03-12 00:51:13
TORTUGA	2018-03-12 00:51:46
TORTUGA	2018-03-12 00:52:02
TREASURE	2018-03-12 00:52:10
PARLEY	2018-03-12 00:52:25
PARLEY	2018-03-12 00:52:56
DAUNTLESS	2018-03-12 00:54:24
MEDALLION	2018-03-12 00:57:43
CARIBBEAN	2018-03-12 00:58:30
ISLAND	2018-03-12 00:58:36
WATER	2018-03-12 00:58:42
GIBBS	2018-03-12 01:00:28
HOLLYWOOD	2018-03-12 01:00:38
SALAZAAR	2018-03-12 01:01:43
DISNEYLAND	2018-03-12 01:03:04
ADVENTURELAND	2018-03-12 01:03:53
JACK	2018-03-12 01:46:18
SPARROW	2018-03-12 01:46:25
TURNER	2018-03-12 01:46:33
BARBOSSA	2018-03-12 01:46:52
REBEL	2018-03-12 01:50:24
SPARROW	2018-03-12 01:50:31
CAPTAIN	2018-03-12 01:50:37
PEARL	2018-03-12 01:50:43
BADELT	2018-03-12 09:05:18
BADELT	2018-03-12 09:05:25
BADELT	2018-03-12 09:05:33
WIMMER	2018-03-12 09:06:03
BADELT	2018-03-12 09:06:11
KLAUS	2018-03-12 09:07:12
BADELT	2018-03-12 09:07:22
FLORIAN	2018-03-12 12:20:45
SIRI	2018-03-12 12:21:03
ALEXA	2018-03-12 12:21:39
ECHO	2018-03-12 12:21:47
COMPUTER	2018-03-12 12:22:11
AMAZON ECHO	2018-03-12 12:22:19
AMAZON ALEXA	2018-03-12 12:22:26
AI	2018-03-12 12:22:51
ASSISTANT	2018-03-12 12:22:57
ARTIFICIAL INTELLIGENCE	2018-03-12 12:23:09
FIRE OS	2018-03-12 12:57:49
AMAZON	2018-03-12 12:57:58
ALEXA	2018-03-12 12:58:04
AMAZON ECHO DOT	2018-03-12 12:58:37
ECHO DOT	2018-03-12 12:58:41
CLOUD	2018-03-12 12:59:06
AMAZON LEX	2018-03-12 12:59:35
LEX	2018-03-12 12:59:40
SUPERIOR	2018-03-12 13:39:21
FAIR	2018-03-12 13:39:47
DEEP BLUE	2018-03-12 13:42:11
BLUE	2018-03-12 13:42:15
DEEP BLUE	2018-03-12 13:42:59
KASPORV	2018-03-12 13:43:06
DEEP	2018-03-12 13:43:12
M	2018-03-12 13:47:31
FACEBOOK AI RESEARCH	2018-03-12 13:47:57
ALICE AND BOB	2018-03-12 13:48:06
VISION	2018-03-12 14:31:39
IRON MAN	2018-03-12 14:31:48
FACEBOOK M TEXT BASED VIRTUAL ASSISTANT	2018-03-12 15:36:14
FACEBOOK M THE TEXT BASED VIRTUAL ASSISTANT	2018-03-12 15:36:20
FACEBOOK VIRTUAL ASSISTANT M IS DEAD	2018-03-12 15:39:29
JUST A RATHER VERY INTELLIGENT SYSTEM	2018-03-12 16:53:48
MAKE IN INDIA	2018-03-12 16:54:03
