JAMES JIM MORIARTY	2018-03-11 19:19:59
OLD FASHIONED VILIAN	2018-03-11 19:21:02
THE GREAT GAME	2018-03-11 19:22:22
NO RUSH	2018-03-11 19:25:08
DEAD IS THE NEW SEXY	2018-03-11 19:27:21
YOU'RE INSANE	2018-03-11 19:28:09
RED ALERT	2018-03-11 19:28:58
NO RUSH	2018-03-11 19:30:03
WRONG ANSWER	2018-03-11 19:30:38
JIM MORIARTY. HI!	2018-03-11 19:31:47
CROWN	2018-03-11 19:33:46
YOU ALWAYS FEEL PAIN, SHERLOCK...BUT YOU DON'T HAVE TO FEAR IT!!	2018-03-11 19:34:58
SORRY BOYS, I'M SO CHANGEABLE!	2018-03-11 19:38:18
ROOFTOP	2018-03-11 19:39:37
CONSULTING CRIMINAL	2018-03-11 19:41:15
GRIMM'S FAIRYTALES	2018-03-11 19:41:54
IOU	2018-03-11 19:42:47
THAT'S WHAT PEOPLE DO!	2018-03-11 19:44:43
OWE	2018-03-11 19:45:14
MISS ME	2018-03-11 19:45:23
HOLMES	2018-03-11 19:51:31
TAPE	2018-03-11 19:52:32
TAPE	2018-03-11 19:52:32
I'M A SPECIALIST, YOU SEE? LIKE YOU.	2018-03-11 19:55:00
WATSON	2018-03-11 19:57:26
I OWE YOU SHERLOCK	2018-03-11 20:02:22
NO. SORRY... WRONG DAY TO DIE!	2018-03-11 20:03:36
NO. SORRY... WRONG DAY TO DIE!	2018-03-11 20:03:36
DID YOU MISS ME?	2018-03-11 20:05:33
KLINGTONS ATTACKING LOWER DECK. 	2018-03-11 20:07:49
THE SIGN OF THREE	2018-03-11 20:09:27
THE KEY IS KING	2018-03-11 20:12:08
THE KEY IS KING	2018-03-11 20:12:08
THE KEY IS KING	2018-03-11 20:12:48
...	2018-03-11 20:20:46
MESSAGE FROM MORIARTY	2018-03-11 20:22:21
A THIEVING MAGPIE	2018-03-11 21:02:09
221 B BACKER STREET	2018-03-11 22:05:54
SHERLOCK CHROME MAGNIFYING GLASS	2018-03-11 22:12:38
