MAGNIFICATION GLASS	2018-03-12 13:22:34
A STUDY IN SCARLET	2018-03-12 13:23:30
OREO	2018-03-12 13:26:23
PIRATES OF THE CARIBBEAN	2018-03-12 13:28:22
HE'S A PIRATE	2018-03-12 13:29:03
HAN ZIMMER	2018-03-12 13:29:10
FLORIAN	2018-03-12 13:29:39
ALEXA	2018-03-12 13:30:40
VOICE ASSISTANCE	2018-03-12 13:31:26
VOICE	2018-03-12 13:31:39
ECHO	2018-03-12 13:31:54
BIGSBY	2018-03-12 13:41:04
CORTANA	2018-03-12 13:42:11
ANDROID	2018-03-12 13:42:24
VIRTUAL	2018-03-12 13:42:34
RUUH	2018-03-12 13:43:00
RUH	2018-03-12 13:43:05
NATASHA	2018-03-12 13:43:17
M	2018-03-12 13:47:08
WHAT CAN I HELP YOU WITH	2018-03-12 13:47:44
HELP	2018-03-12 13:47:51
CAN I HELP	2018-03-12 13:48:01
GOOGLE ASSISTANT	2018-03-12 13:48:12
S VOCE	2018-03-12 13:48:18
S VOICE	2018-03-12 13:48:22
AMAZON ECHO	2018-03-12 13:48:33
GOOGLE HOME	2018-03-12 13:48:40
SIRI	2018-03-12 13:48:48
PIXIES	2018-03-12 13:49:35
AL	2018-03-12 13:50:12
AI	2018-03-12 13:50:19
ARTIFICIAL INTELLIGENCE	2018-03-12 13:50:31
BIXBY	2018-03-12 13:51:25
SKYPE	2018-03-12 13:52:25
NEXUS	2018-03-12 13:52:47
PIXEL	2018-03-12 13:52:55
IPHONE	2018-03-12 13:53:01
HOME	2018-03-12 13:54:09
SHOEBOX	2018-03-12 13:57:56
IBM SHOEBOX	2018-03-12 13:58:06
SIMON	2018-03-12 13:58:57
HTC FIRST	2018-03-12 13:59:36
MESSENGER	2018-03-12 14:02:14
ASSISTANT	2018-03-12 14:02:48
MARCUS	2018-03-12 14:06:17
MARCUS	2018-03-12 14:06:17
MARCUS	2018-03-12 14:06:21
BIXBY 	2018-03-12 14:06:37
M	2018-03-12 14:13:50
FACEBOOK	2018-03-12 14:13:56
FACEBOOK	2018-03-12 14:13:58
FACEBOOK	2018-03-12 14:14:00
FACEBOOK	2018-03-12 14:14:01
FACEBOOK	2018-03-12 14:14:03
SOCIAL NETWORK	2018-03-12 14:14:13
SOCIAL	2018-03-12 14:14:20
ALEXA	2018-03-12 14:14:43
MADARCHOD	2018-03-12 14:16:27
FACE ID	2018-03-12 14:17:56
DAVID MARCUA	2018-03-12 14:20:55
DAVID MARCU	2018-03-12 14:20:58
DAVID MARCUS	2018-03-12 14:21:02
DAVID	2018-03-12 14:21:06
CHATBOT	2018-03-12 14:22:07
BOB	2018-03-12 14:24:56
ALICE	2018-03-12 14:25:02
ALICE BOB	2018-03-12 14:25:05
LANGUAGE	2018-03-12 14:25:20
FAIE	2018-03-12 14:25:53
FAIR	2018-03-12 14:25:57
JARVIS	2018-03-12 14:26:39
